EEBO,Author
99839202,"Grindal
99845197,"Gringore
99853765,"Deloney
99843209,"Balcanquhall
99841602,"Sparke
24157689,"Grotius
99836259,"Adams
99836378,"Balcanquhall
99857652,"Grotius
99850211,"Gruffudd Hiraethog
99841609,"Grove
99852793,"Gruffudd Hiraethog
99854266,"Grymes
99854177,"Grymeston
99847703,"Berners
99839254,"Guarini
99841576,"Guazzo
99850881,"Guevara
99839286,"Guevara
99840208,"Baldwin
99855906,"Guevara
99845230,"Guevara
99839236,"Guevara
99852485,"Baldwin
99839264,"Balzac
99839267,"Balzac
99839269,"Balzac
99854270,"Day
99854165,"Guybert
99855949,"Guicciardini
99856508,"Baldwin
99853854,"Hall
99841629,"Guy
99840257,"Baldwin
99854271,"Guild
99854180,"Guild
99839277,"Guild
99853108,"Guild
99839280,"Ratramnus
99839296,"Guild
99839310,"Guillemard
99839297,"Guillemeau
99857328,"Guillemeau
99850218,"Guillemeau
99836265,"Adams
99839299,"Mornay
99846673,"William
99845542,"William
99836392,"Baldwin
99839307,"Gurnay
99856131,"Gurnay
99836420,"Baldwin
99856390,"Gurnay
99841633,"Gurney
24520096,"Gurth
99854273,Sweden.
99854273,Ferdinand II
99839322,"Holland
99852928,"Guy
99835786,"Guy
99853112,"Guy
99841724,"Gwyn
99847708,"Gwynneth
99847711,"Gwynneth
33142597,A. H.
99839354,"Gyer
99845310,"Hart
99839325,"I. H.
99839338,"Philaretes
99841741,I. H.
99841741,Heath
99847716,"H. R. (Henry Roberts)
99853114,"Hobbes
99855366,"Habermann
99839360,"Habington
99855784,"Habington
99855789,"Habington
99854275,"Hacket
99854198,"Hacket
99854957,"Hacket
99853115,"Hacket
99839357,"Haddon
99847717,"Haddon
99841674,"Hagthorpe
99841676,"Hagthorpe
99841743,"Hake
99841865,"Hake
99841863,"Hake
99839363,"Hake
99841678,"Hake
99839361,"Hakewill
99855794,"Hakewill
99839317,"Hakewill
99839382,"Hakewill
99839383,"Hakewill
99853116,"Hakewill
99839385,"Hakewill
99857087,"Hale
99839387,"Hales
99854168,"Hall
99841688,"Hall
99853626,"Hall
99854203,"Hall
99839388,"Hall
99853780,"Hall
99839378,"Hall
99839402,"Hall
24165870,"Hall
99839379,"Hall
